Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,To Name,Country Code,To Number,Call Type,Duration,Call Date,Call Time,Notes,Unique customer Id,Incoming Calls,Incoming Duration,Outgoing Calls,Outgoing Duration,Missed,Rejected,Connected Calls,Never Attended,Call Status,Purpose of Call,Region,Customer Feedback,Department,Follow-Up Required
423,FB002,Mumbai,Ankur Garde,9.18889E+11,Sierra Roberts,+881 7,990.551.3894x592,Outgoing,16 mins 30 secs,30-11-2021,2:03 AM,Enter least away peace Democrat everybody financial.,CUST0423,2,24 mins 24 secs,0,0 mins 0 secs,2,1,2,0,No Answer,Support,Europe,Neutral,Support,Yes
561,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Jacqueline Bonilla,84,(337)854-9164,Outgoing,16 mins 14 secs,25-02-2024,7:11 PM,Very call work.,CUST0561,1,6 mins 50 secs,2,4 mins 46 secs,2,0,2,1,Busy,Sales,Europe,Dissatisfied,Sales,Yes
1067,FB015,New York,Rachel,9.18889E+11,Rebecca Johnson,971,+1-947-713-3878x594,Incoming,20 mins 46 secs,06-07-2024,7:18 PM,Final weight already the author deal shoulder management.,CUST1067,5,100 mins 95 secs,2,12 mins 96 secs,1,1,0,7,Failed,Sales,Europe,Dissatisfied,Sales,Yes
1320,FB008,New York,Steve,9.18889E+11,Dustin Wright,+1 268,3249087983,Incoming,2 mins 47 secs,,8:43 PM,Senior support method read day discuss type.,CUST1320,3,24 mins 84 secs,4,32 mins 192 secs,2,1,6,1,Busy,Inquiry,Asia,Neutral,Support,Yes
2310,FB008,New York,Steve,9.18889E+11,Brian Martin,976,+1-897-217-7903x14361,Incoming,8 mins 20 secs,26-08-2021,5:23 AM,Person population science.,CUST2310,3,51 mins 3 secs,1,18 mins 23 secs,0,0,3,1,No Answer,Inquiry,Asia,Satisfied,Support,No
3200,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Candace Edwards,964,757-220-6887,Outgoing,4 mins 24 secs,,10:54 AM,Material quality thus employee style.,CUST3200,5,70 mins 60 secs,4,24 mins 196 secs,1,2,2,7,No Answer,Follow-up,North America,Neutral,Sales,Yes
3249,FB003,Pune,Shubhangi,9.18889E+11,Carol Warren,269,775.559.5467,Incoming,6 mins 8 secs,01-01-2022,2:07 PM,None summer wrong consumer.,CUST3249,0,0 mins 0 secs,0,0 mins 0 secs,1,2,0,0,Completed,Inquiry,Africa,Satisfied,Sales,Yes
3812,FB008,New York,Steve,9.18889E+11,Ann Rodriguez,994,740.799.7657x88906,Incoming,1 mins 2 secs,26-03-2023,6:18 AM,Decide quality research make.,CUST3812,2,12 mins 76 secs,0,0 mins 0 secs,1,0,2,0,Failed,Sales,North America,Neutral,Support,Yes
4091,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,William Barnett,972,(956)542-4368,Outgoing,10 mins 2 secs,23-02-2023,3:25 PM,Contain talk just commercial.,CUST4091,3,42 mins 60 secs,3,24 mins 132 secs,1,0,2,4,Busy,Sales,Europe,Satisfied,Sales,No
4443,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Joshua Hopkins DVM,682,+1-703-598-2110x48627,Incoming,6 mins 54 secs,28-12-2023,5:09 AM,Site determine hear across garden.,CUST4443,4,60 mins 224 secs,4,32 mins 48 secs,0,0,2,6,No Answer,Feedback,Europe,Dissatisfied,Sales,No
4668,FB002,Mumbai,Ankur Garde,9.18889E+11,Nicole Garrett,36,873.791.4716,Outgoing,2 mins 28 secs,03-12-2020,4:29 PM,Customer true hour sea authority other far.,CUST4668,1,4 mins 37 secs,1,9 mins 56 secs,1,1,2,0,No Answer,Inquiry,North America,Dissatisfied,Support,Yes
