Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,Message Content,Message Date,Message Time,Unique customer Id
19,FB003,Pune,Shubhangi,9.18889E+11,Class you she brother.,05-07-2024,2:08 PM,CUST0019
24,FB002,Mumbai,Ankur Garde,9.18889E+11,Draw order agree though town lose.,18-02-2021,4:44 AM,CUST0024
27,FB015,New York,Rachel,9.18889E+11,Various put strategy contain by.,08-07-2022,1:50 AM,CUST0027
29,FB003,Pune,Shubhangi,9.18889E+11,Production bill respond street.,15-01-2023,8:44 PM,CUST0029
34,FB002,Mumbai,Ankur Garde,9.18889E+11,Risk understand model nation.,10-03-2024,5:59 AM,CUST0034
35,FB003,Pune,Shubhangi,9.18889E+11,Everybody nature still paper your.,26-11-2020,11:42 PM,CUST0035
37,FB015,New York,Rachel,9.18889E+11,Stage organization fund weight.,31-12-2021,12:30 PM,CUST0037
40,FB015,New York,Rachel,9.18889E+11,Appear series away difficult.,22-12-2021,8:44 PM,CUST0040
49,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Amount learn seem myself cold produce.,11-12-2020,5:26 AM,CUST0049
61,FB008,New York,Steve,9.18889E+11,Million car win economy owner girl without statement.,17-12-2023,2:03 AM,CUST0061
72,FB003,Pune,Shubhangi,9.18889E+11,Our seven apply present coach candidate long game.,24-09-2023,3:03 AM,CUST0072
79,FB003,Pune,Shubhangi,9.18889E+11,Reflect two bit much born star.,28-05-2022,2:09 PM,CUST0079
80,FB002,Mumbai,Ankur Garde,9.18889E+11,Act many recent lawyer worry nice.,19-11-2020,8:55 AM,CUST0080
83,FB015,New York,Rachel,9.18889E+11,Make security article.,18-03-2024,10:46 PM,CUST0083
90,FB008,New York,Steve,9.18889E+11,Commercial lose majority expert shake.,22-08-2021,7:55 PM,CUST0090
110,FB003,Pune,Shubhangi,9.18889E+11,Country small age century front industry cause.,16-09-2020,8:25 AM,CUST0110
117,FB002,Mumbai,Ankur Garde,9.18889E+11,World expert but nature.,17-09-2020,3:58 PM,CUST0117
134,FB003,Pune,Shubhangi,9.18889E+11,Cultural receive whatever cause skin almost election.,11-10-2023,10:48 PM,CUST0134
143,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Property enough center too fill main.,01-09-2022,2:59 AM,CUST0143
152,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Tax single man he.,06-03-2021,11:16 PM,CUST0152
153,FB002,Mumbai,Ankur Garde,9.18889E+11,Capital soldier foreign employee.,21-03-2021,1:12 AM,CUST0153
170,FB008,New York,Steve,9.18889E+11,Both rich heart cover ability recently fill.,22-06-2024,11:37 PM,CUST0170
177,FB015,New York,Rachel,9.18889E+11,Run alone goal.,05-03-2024,11:17 PM,CUST0177
183,FB002,Mumbai,Ankur Garde,9.18889E+11,Other truth coach coach dinner.,23-02-2022,10:40 PM,CUST0183
199,FB015,New York,Rachel,9.18889E+11,Doctor worker natural party.,15-10-2021,6:47 AM,CUST0199
209,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Away still during professional.,08-06-2021,10:31 PM,CUST0209
215,FB015,New York,Rachel,9.18889E+11,Thank southern party special.,04-08-2022,12:28 AM,CUST0215
229,FB015,New York,Rachel,9.18889E+11,Beat member recognize send market.,05-10-2023,6:18 AM,CUST0229
230,FB001,Nagpur,Aniruddha Kalbande,9.18889E+11,Why prepare relationship society.,23-07-2023,1:07 PM,CUST0230
243,FB015,New York,Rachel,9.18889E+11,South sing check.,27-06-2024,1:16 PM,CUST0243
244,FB003,Pune,Shubhangi,9.18889E+11,Point peace federal term.,08-04-2024,11:06 PM,CUST0244
272,FB002,Mumbai,Ankur Garde,9.18889E+11,Range drive evening media southern military music.,17-10-2020,2:18 PM,CUST0272
277,FB008,New York,Steve,9.18889E+11,Understand allow color.,17-08-2023,1:33 PM,CUST0277
284,FB003,Pune,Shubhangi,9.18889E+11,Region meet article vote.,02-11-2022,2:35 PM,CUST0284
